start_x,start_y,start_theta,start_phi,start_v,target_x,target_y,target_theta,target_phi,target_v,T_exact,T_poly,max_poly_error,final_poly_x,final_poly_y,final_poly_theta,final_poly_phi,final_poly_v
0.0,0.0,0.0,0.0,3.0983969036583634,10.0,-6.0325170793844745,0.7948230347424454,0.0,4.607951725793246,2.8610780469546486,2.901330839319055,0.25493514732236167,10.0,-6.0325170793844745,0.7948230347424454,0.0,4.607951725793246
0.0,0.0,0.0,0.0,7.619312937986177,10.0,-5.561964146409113,-0.8110225344359683,0.0,1.8487450597782806,1.9335661391162349,1.9759516781889384,0.1385636919278927,10.0,-5.561964146409113,-0.8110225344359683,0.0,1.8487450597782806
0.0,0.0,0.0,0.0,8.983753167697762,10.0,-4.3697447510840215,2.908678032954178,0.0,7.711842486373996,3.893606265494103,4.000021561856836,0.7995705272845766,10.0,-4.3697447510840215,2.908678032954178,0.0,7.711842486373996
0.0,0.0,0.0,0.0,2.756116898907761,10.0,3.167844822541287,0.987188492978917,0.0,0.36683723414169145,2.5871173562853103,2.624719660536047,0.188863858856563,10.0,3.167844822541287,0.987188492978917,0.0,0.36683723414169145
0.0,0.0,0.0,0.0,4.2700897198062435,10.0,-6.899884773307061,-1.341016747156417,0.0,2.4693325647063133,2.3221066883536023,2.3449592319689847,0.11884523742760743,10.0,-6.899884773307061,-1.341016747156417,0.0,2.4693325647063133
0.0,0.0,0.0,0.0,5.357662243051808,10.0,6.171502765566974,-0.7725574191589879,0.0,3.641628734954012,2.833196675293454,2.8993546417468443,0.3259349421067961,10.0,6.171502765566974,-0.7725574191589879,0.0,3.641628734954012
0.0,0.0,0.0,0.0,9.850221224769394,10.0,5.240583334533493,2.1291803872964223,0.0,6.4479800378526555,2.5614109852904057,2.603807437355799,0.27133575126234416,10.0,5.240583334533493,2.1291803872964223,0.0,6.4479800378526555
0.0,0.0,0.0,0.0,0.9834700596918322,10.0,7.219048147337649,1.1610517857804519,0.0,8.482817248355731,2.2047610680735583,2.2457013316940437,0.37975525688277884,10.0,7.219048147337649,1.1610517857804519,0.0,8.482817248355731
0.0,0.0,0.0,0.0,2.2049954662575164,10.0,-4.005746090283491,2.926267859217031,0.0,5.598594726441862,4.178502891609037,4.225100297399406,0.25837828826442416,10.0,-4.005746090283491,2.926267859217031,0.0,5.598594726441862
0.0,0.0,0.0,0.0,3.5488410453133956,10.0,5.827432673558214,-1.3929980908449138,0.0,9.62962289628032,3.88104803223058,4.02912276640461,1.3687708511028291,10.0,5.827432673558214,-1.3929980908449138,0.0,9.62962289628032
